,Input_P_1,Input_P_2,Sensor_S_1,Sensor_S_2
61,0.0,0.0,0.19970703125,1.19970703125
62,0.0,0.0,0.19970703125,1.19970703125
63,0.0,0.0,0.19970703125,1.19970703125
64,0.0,0.0,0.19970703125,-0.50048828125
65,0.0,0.0,0.19970703125,-0.50048828125
66,0.0,0.0,0.19970703125,-0.50048828125
67,0.0,0.0,0.19970703125,-0.50048828125
68,0.0,0.0,0.19970703125,-0.50048828125
69,0.0,0.0,-0.50048828125,-0.50048828125
70,0.0,0.0,-0.50048828125,-0.50048828125
71,0.0,0.0,-0.50048828125,-0.50048828125
72,0.0,0.0,-0.50048828125,-0.50048828125
73,0.0,0.0,-0.50048828125,-0.50048828125
74,0.0,0.0,-0.50048828125,8.39990234375
75,0.0,0.0,-0.50048828125,8.39990234375
76,0.0,0.0,-0.50048828125,8.39990234375
77,0.0,0.0,-0.50048828125,8.39990234375
78,0.0,0.0,-0.50048828125,8.39990234375
79,0.0,0.0,-0.50048828125,8.39990234375
80,0.0,0.0,11.599609375,8.39990234375
81,0.0,0.0,11.599609375,8.39990234375
82,0.0,0.0,11.599609375,8.39990234375
83,0.0,0.0,11.599609375,8.39990234375
84,0.0,0.0,11.599609375,8.39990234375
85,0.0,0.0,11.599609375,0.19970703125
86,0.0,0.0,11.599609375,0.19970703125
87,0.0,0.0,11.599609375,0.19970703125
88,0.0,0.0,11.599609375,0.19970703125
89,0.0,0.0,11.599609375,0.19970703125
90,0.0,0.0,11.599609375,0.19970703125
91,0.0,0.0,-0.20068359375,0.19970703125
92,0.0,0.0,-0.20068359375,0.19970703125
93,0.0,0.0,-0.20068359375,0.19970703125
94,0.0,0.0,-0.20068359375,0.19970703125
95,0.0,0.0,-0.20068359375,0.19970703125
96,0.0,0.0,-0.20068359375,1.10009765625
97,0.0,0.0,-0.20068359375,1.10009765625
98,0.0,0.0,-0.20068359375,1.10009765625
99,0.0,0.0,-0.20068359375,1.10009765625
100,0.0,0.0,-0.20068359375,1.10009765625
101,0.0,0.0,-0.20068359375,1.10009765625
102,0.0,0.0,-0.20068359375,1.10009765625
103,0.0,0.0,-0.20068359375,1.10009765625
104,0.0,0.0,-0.20068359375,1.10009765625
105,0.0,0.0,-0.70068359375,1.10009765625
106,0.0,0.0,-0.70068359375,1.10009765625
107,0.0,0.0,-0.70068359375,1.10009765625
108,0.0,0.0,-0.70068359375,1.10009765625
109,0.0,0.0,-0.70068359375,1.10009765625
110,0.0,0.0,-0.70068359375,-0.10009765625
111,0.0,0.0,-0.70068359375,-0.10009765625
112,0.0,0.0,-0.70068359375,-0.10009765625
113,0.0,0.0,-0.70068359375,-0.10009765625
114,0.0,0.0,-0.70068359375,-0.10009765625
115,0.0,0.0,-0.70068359375,-0.10009765625
116,0.0,0.0,0.099609375,-0.10009765625
117,0.0,0.0,0.099609375,-0.10009765625
118,0.0,0.0,0.099609375,-0.10009765625
119,0.0,0.0,0.099609375,-0.10009765625
120,0.0,0.0,0.099609375,-0.10009765625
121,0.0,0.0,0.099609375,0.3994140625
122,0.0,0.0,0.099609375,0.3994140625
123,0.0,0.0,0.099609375,0.3994140625
124,0.0,0.0,0.099609375,0.3994140625
125,0.0,0.0,0.099609375,0.3994140625
126,0.0,0.0,0.099609375,0.3994140625
127,0.0,0.0,0.8994140625,0.3994140625
